"position_type","rsi","rsi_delta","dxy_rsi","vix_close","us10y_rsi","outcome"
1,0.25764476255002,0.494424813298557,0.182608499072819,0.0266485376846081,0.765091048128871,0
0,0.710816777113176,0.569397788206811,0.488373034120428,0.146159057888265,0.520790608475895,1
0,0.769874477064428,0.532830762994184,0.268293622868544,0.0876954428906745,0.343543565708378,1
1,0.29054054056961,0.486443119669548,0.432258029179441,0.215499654235223,0.503973017778535,1
0,0.726114649754483,0.536828704366014,0.141732674080604,0.221617954544719,0.262271672517395,1
1,0.222345132765119,0.464080980044574,0.680203594596745,0.0233854514375132,0.338192419825061,0
0,0.746212121286725,0.496852089217534,0.774998535793874,0.177022428904897,0.391591222955344,0
0,0.727926078101482,0.572141917154598,0.873683556876141,0.0804894607616734,0.659937791877501,1
0,0.940060698121194,0.556791543589055,0.608467584971618,0.274099231159776,0.444829669319471,0
0,0.728110599150996,0.563178790025767,0.23696671236175,0.0668932680654448,0.169917065300457,1
1,0.254571026748414,0.483201436583618,0.546509906302275,0.291638333334104,0.421145277518015,0
0,0.763052208911445,0.591656945834321,0.55303397622471,0.0216179463870035,0.561574128860828,0
1,0.236347359021068,0.38745914704947,0.21186440680085,0.11597552369883,0.238724061052986,1
1,0.247336377497987,0.488918742841823,0.0996464064589185,0.0901427575759957,0.290944949408333,1
0,0.707423580856451,0.561167659266133,0.208179523517033,0.183684563326049,0.188884064263989,1
0,0.766062603041537,0.564987914097132,0.32926673709002,0.0119646495726812,0.312668463611858,1
0,0.73599585069602,0.61334629798379,0.397476344714283,0.177702224943515,0.431307072860612,1
1,0.248366013096712,0.480925822956199,0.335821888723717,0.123181519424024,0.274532670210941,1
1,0.299299299329109,0.487888409020468,0.397999273637479,0.0910944910647317,0.577575608556673,0
1,0.0986430062730163,0.522381987874358,0.207448063337586,0.049898027195159,0.360602760897823,0
1,0.15645756459114,0.51087863012058,0.370879590365634,0.0522093799535179,0.559264923768098,1
0,0.907370518019031,0.654565037272767,0.523035839240857,0.227464317404097,0.477135109788171,1
1,0.163289630528744,0.43888845304082,0.465572634285039,0.0655336487958219,0.458381786416967,0
1,0.277317880822445,0.459356902345339,0.411319090109398,0.0227056418027018,0.9537026239067,1
0,0.721579961536747,0.566496402676058,0.565433151101631,0.0920462245534677,0.373498221894733,1
1,0.291176470617383,0.490261179544327,0.458514702280615,0.0303195097125898,0.687564754355098,0
1,0.247078464131717,0.484178055206115,0.760561575167987,0.0426920450661578,0.573048266925813,0
0,0.711760184544891,0.555032469743212,0.500000000049994,0.125084972805303,0.655009246523498,0
1,0.210597826108076,0.454191930005691,0.146401065226089,0.256832093627951,0.269911289931649,0
0,0.730496453973182,0.552360310077352,0.49700537133937,0.246770911032742,0.355102040816352,0
0,0.733208955297487,0.56671616185074,0.775193197602179,0.193201898213409,0.368523578553794,0
1,0.297698945379721,0.503031481996306,0.619440699316378,0.253704942115433,0.562485838154655,1
1,0.168859649139683,0.426813903948209,0.173076087295737,0.214004059442446,0.485136287827667,0
1,0.234654731481303,0.525804968806305,0.896552274169792,0.238205296037925,0.186947057408101,1
1,0.292496171545121,0.484760254165698,0.455694632312736,0.339632879955598,0.560131195335287,1
0,0.719739292437047,0.568827014481952,0.716000286471706,0.0572399712511224,0.359142392734584,0
0,0.73863636370964,0.563284128976348,0.44205908752178,0.0796736891998997,0.522583764302562,0
1,0.192145015124837,0.453340702611187,0.873683556876141,0.0804894607616734,0.659937791877501,1
0,0.781087118469842,0.488963830692276,0.646465003635341,0.0598232478634059,0.186588921282808,0
1,0.258522727298519,0.46990076663892,0.522223901287722,0.0915023768456185,0.524862138850918,1
1,0.247967479699409,0.486190675053493,0.678568197362153,0.049898027195159,0.0507288629737628,1
1,0.258636788074368,0.494796020008309,0.225191420974574,0.0596872859364436,0.48676250021066,0
0,0.7443850268126,0.573431365927309,0.43229113231514,0.11597552369883,0.760932944606409,1
0,0.780104712120006,0.578832275879662,0.251885598645988,0.465125724945595,0.495491219743712,0
0,0.704367301302111,0.532984044765348,0.42038434423588,0.115295727660211,0.575520433737413,1
0,0.791666666745667,0.56580571045287,0.282607561459025,0.256152270396947,0.520131379857562,1
0,0.749328558713957,0.536027682307001,0.745927465622832,0.0469068648019887,0.637644531496816,0
0,0.706521739201078,0.551068558935363,0.536023220909952,0.119238609945925,0.475343501920376,0
0,0.773805043359262,0.563858204305118,0.18918851353243,0.278857912199649,0.200906388014892,0
0,0.704154727864047,0.429629786543782,0.346151960088342,0.0569680473971979,0.26411217548243,1
1,0.270000000026987,0.464447052903875,0.744443325175665,0.126716502332658,0.479105928085521,1
0,0.711895070175256,0.535945895159942,0.697238658846839,0.705098553226416,0.70014215839819,0
1,0.260582010608082,0.45881553520927,0.369228179913002,0.171040090522363,0.791713130281737,1
1,0.258675078890261,0.434877861894805,0.901409581525585,0.08742351903675,0.472436739144947,0
1,0.232040229908696,0.436569702586816,0.400551325550007,0.135825951439131,0.768217768271043,1
0,0.769037656980718,0.582623158490605,0.755486513572088,0.167777017871461,0.179213077172264,0
0,0.757361601960465,0.549073584238655,0.583587666476692,0.0458191693862904,0.498440572242179,1
1,0.25107604019731,0.566748590126426,0.711611236026215,0.183684563326049,0.460317460317465,1
1,0.23318385652567,0.417734081287389,0.892183375682175,0.0963970062162609,0.431317868762414,1
0,0.725038402531072,0.590394713737992,0.370193999663938,0.0333106721057601,0.612458223707644,1
1,0.268771331084938,0.486981638088946,0.440191119752686,0.0478585982907247,0.613971646291875,0
0,0.771309771387108,0.590730785832749,0.356783954986363,0.267437096738624,0.722803407077092,0
0,0.702127659644873,0.566265987026228,0.606618786561312,0.0577838189589716,0.443058286437493,1
1,0.269466316737345,0.494238659234698,0.772828720669373,0.143031947164325,0.650300849823213,1
